productId,category,price,avgRating
P00123,Speakers,92.79,5.0
P00124,Chargers,164.22,4.4
P00125,Keyboards,70.79,3.5
P00126,Smartphones,82.22,3.0
P00127,Smartphones,425.45,3.3
P00128,Speakers,33.38,3.5
P00129,Chargers,68.66,3.6
P00130,Laptops,224.86,4.1
P00131,Headphones,81.73,4.1
P00132,Chargers,61.88,3.2
P00133,Mice,66.08,4.6
P00134,Monitors,36.26,5.0
P00135,Laptops,46.17,4.3
P00136,Monitors,234.49,4.4
P00137,Headphones,69.86,3.3
P00138,Tablets,97.33,4.8
P00139,Chargers,19.79,3.9
P00140,Monitors,104.47,3.9
P00141,Mice,128.87,4.9
P00142,Keyboards,277.55,4.3
P00143,Smartphones,87.76,4.4
P00144,Chargers,30.8,5.0
P00145,Laptops,203.62,3.5
P00146,Laptops,14.05,4.5
P00147,Smartphones,33.0,3.5
P00148,Laptops,73.85,4.5
P00149,Cameras,185.17,4.5
P00150,Speakers,185.48,4.9
P00151,Cameras,90.53,3.3
P00152,Chargers,61.38,3.2
P00153,Laptops,90.56,3.4
P00154,Keyboards,60.5,4.3
P00155,Cameras,77.41,4.8
P00156,Keyboards,14.09,3.8
P00157,Headphones,301.14,3.9
P00158,Cameras,252.32,3.7
P00159,Speakers,202.94,4.4
P00160,Headphones,72.37,3.7
P00161,Mice,16.64,4.4
P00162,Cameras,55.96,4.6
P00163,Monitors,79.14,3.6
P00164,Headphones,25.72,4.0
P00165,Laptops,54.43,4.5
P00166,Headphones,125.58,3.3
P00167,Speakers,45.58,3.9
P00168,Cameras,25.37,4.7
P00169,Smartphones,57.96,4.4
P00170,Chargers,40.13,3.7
P00171,Mice,22.43,4.4
P00172,Keyboards,32.14,3.4
P00173,Keyboards,43.28,3.1
P00174,Headphones,62.38,5.0
P00175,Chargers,89.51,4.6
P00176,Keyboards,128.95,2.6
P00177,Cameras,48.95,4.3
P00178,Keyboards,35.47,4.1
P00179,Laptops,172.36,3.9
P00180,Chargers,178.83,4.0
P00181,Laptops,40.34,3.8
P00182,Keyboards,58.65,3.6
P00183,Speakers,18.99,4.4
P00184,Smartphones,36.12,3.6
P00185,Headphones,122.89,3.9
P00186,Keyboards,120.34,3.7
P00187,Chargers,89.87,4.8
P00188,Mice,57.67,4.3
P00189,Cameras,30.22,3.8
P00190,Headphones,141.3,4.7
P00191,Headphones,98.31,3.5
P00192,Smartphones,95.82,4.4
P00193,Monitors,68.57,3.6
P00194,Tablets,32.37,5.0
P00195,Monitors,62.21,3.1
P00196,Chargers,82.0,3.9
P00197,Smartphones,111.03,4.1
P00198,Smartphones,57.32,4.4
P00199,Smartphones,102.32,4.4
P00200,Headphones,42.74,3.5
P00201,Smartphones,92.43,3.5
P00202,Monitors,45.48,3.2
P00203,Laptops,8.24,4.9
P00204,Cameras,69.68,3.4
P00205,Tablets,197.83,3.3
P00206,Tablets,42.47,3.0
P00207,Headphones,22.5,3.5
P00208,Keyboards,164.36,3.4
P00209,Monitors,189.14,4.6
P00210,Tablets,60.1,4.8
P00211,Chargers,45.09,4.9
P00212,Headphones,40.94,4.0
P00213,Keyboards,38.05,5.0
P00214,Smartphones,37.86,4.6
P00215,Laptops,150.13,3.5
P00216,Tablets,124.69,4.1
P00217,Tablets,17.4,2.4
P00218,Cameras,137.07,2.7
P00219,Keyboards,30.32,5.0
P00220,Chargers,52.47,4.5
P00221,Smartphones,90.31,4.3
P00222,Smartphones,55.84,5.0
P00223,Cameras,298.45,5.0
P00224,Speakers,427.79,3.3
P00225,Chargers,40.33,3.5
P00226,Smartphones,106.89,3.8
P00227,Chargers,55.5,2.7
P00228,Tablets,29.36,4.7
P00229,Laptops,32.89,4.0
P00230,Chargers,205.01,4.0
P00231,Speakers,37.96,4.8
P00232,Chargers,76.7,3.2
P00233,Chargers,78.41,4.1
P00234,Keyboards,34.29,3.4
P00235,Headphones,62.78,4.4
P00236,Headphones,85.65,3.5
P00237,Keyboards,70.04,3.9
P00238,Monitors,87.16,3.4
P00239,Cameras,69.94,4.5
P00240,Chargers,67.35,3.6
P00241,Smartphones,59.06,4.1
P00242,Tablets,122.05,3.9
P00243,Tablets,98.38,4.8
P00244,Speakers,34.26,3.4
P00245,Keyboards,78.56,5.0
P00246,Chargers,119.21,4.4
P00247,Chargers,39.5,3.3
P00248,Chargers,96.02,3.8
P00249,Chargers,49.57,4.4
P00250,Smartphones,98.65,3.4
P00251,Tablets,108.42,4.9
P00252,Mice,184.37,4.3
P00253,Keyboards,26.34,4.8
P00254,Keyboards,82.75,4.1
P00255,Speakers,151.69,4.0
P00256,Tablets,19.0,4.6
P00257,Headphones,96.95,3.8
P00258,Chargers,94.6,4.3
P00259,Tablets,154.06,5.0
P00260,Laptops,48.02,5.0
P00261,Smartphones,70.97,4.2
P00262,Keyboards,199.57,5.0
P00263,Monitors,115.91,3.8
P00264,Chargers,33.54,4.6
P00265,Headphones,68.17,4.8
P00266,Chargers,73.05,4.1
P00267,Chargers,53.78,3.1
P00268,Speakers,21.6,3.7
P00269,Monitors,176.96,2.7
P00270,Speakers,110.12,4.8
P00271,Cameras,75.89,4.5
P00272,Keyboards,27.64,4.2
P00273,Cameras,41.29,5.0
P00274,Headphones,69.69,3.3
P00275,Headphones,193.87,3.7
P00276,Smartphones,263.7,3.4
P00277,Tablets,72.61,3.8
P00278,Speakers,55.16,4.2
P00279,Keyboards,40.72,3.8
P00280,Smartphones,180.26,4.2
P00281,Laptops,43.57,4.9
P00282,Keyboards,42.32,3.8
P00283,Headphones,45.28,4.2
P00284,Mice,27.5,5.0
P00285,Cameras,28.53,3.3
P00286,Keyboards,32.05,4.8
P00287,Smartphones,70.49,3.3
P00288,Speakers,74.18,3.3
P00289,Speakers,221.99,5.0
P00290,Cameras,66.3,4.2
P00291,Smartphones,10.12,4.8
P00292,Smartphones,61.04,5.0
P00293,Tablets,77.54,4.3
P00294,Cameras,31.18,3.4
P00295,Cameras,58.94,4.8
P00296,Speakers,186.64,4.4
P00297,Cameras,86.82,3.8
P00298,Chargers,33.74,3.4
P00299,Monitors,63.28,4.1
P00300,Tablets,50.35,3.9
P00301,Chargers,121.27,4.1
P00302,Laptops,80.53,4.9
P00303,Mice,27.03,4.5
P00304,Speakers,55.82,3.1
P00305,Speakers,122.36,4.1
P00306,Tablets,17.36,5.0
P00307,Chargers,98.07,3.6
P00308,Smartphones,33.37,3.5
P00309,Speakers,110.55,5.0
P00310,Keyboards,29.36,3.4
P00311,Speakers,22.68,4.2
P00312,Speakers,98.23,3.5
P00313,Tablets,66.54,3.8
P00314,Smartphones,296.48,2.7
P00315,Laptops,91.98,3.5
P00316,Cameras,72.29,2.4
P00317,Monitors,63.46,5.0
P00318,Keyboards,180.11,3.9
P00319,Keyboards,163.86,3.8
P00320,Tablets,53.49,3.1
P00321,Chargers,135.34,2.9
P00322,Smartphones,9.99,4.6
P00323,Laptops,52.82,3.7
P00324,Tablets,337.58,4.2
P00325,Laptops,37.33,4.3
P00326,Smartphones,95.32,3.2
P00327,Chargers,26.03,5.0
P00328,Tablets,25.23,4.2
P00329,Keyboards,16.88,3.8
P00330,Smartphones,30.15,3.9
P00331,Speakers,55.41,3.9
P00332,Monitors,32.1,3.4
P00333,Chargers,24.67,3.5
P00334,Headphones,21.42,3.4
P00335,Speakers,73.71,4.3
P00336,Smartphones,78.95,3.5
P00337,Laptops,36.99,4.5
P00338,Speakers,67.31,3.9
P00339,Speakers,39.18,3.7
P00340,Smartphones,26.77,3.9
P00341,Monitors,177.1,4.5
P00342,Keyboards,78.18,4.7
P00343,Laptops,52.2,4.6
P00344,Tablets,62.45,4.2
P00345,Smartphones,79.72,3.9
P00346,Mice,34.99,4.2
P00347,Mice,48.24,3.6
P00348,Monitors,141.74,4.7
P00349,Laptops,98.71,3.4
P00350,Monitors,74.44,4.4
P00351,Cameras,47.71,3.6
P00352,Smartphones,96.38,4.1
P00353,Chargers,252.51,4.3
P00354,Monitors,31.26,4.1
P00355,Smartphones,38.04,5.0
P00356,Smartphones,70.41,4.5
P00357,Keyboards,88.84,3.1
P00358,Speakers,97.29,3.9
P00359,Smartphones,31.21,4.2
P00360,Tablets,36.47,3.4
P00361,Laptops,224.58,4.3
P00362,Cameras,11.09,3.8
P00363,Smartphones,118.66,4.8
P00364,Cameras,38.4,4.8
P00365,Headphones,21.25,3.1
P00366,Headphones,74.04,3.8
P00367,Monitors,157.83,3.7
P00368,Headphones,155.3,3.8
P00369,Keyboards,16.83,3.4
P00370,Mice,36.16,4.2
P00371,Chargers,29.28,3.7
P00372,Laptops,89.37,2.9
P00373,Tablets,54.06,3.4
P00374,Chargers,122.4,2.5
P00375,Cameras,110.25,3.7
P00376,Monitors,52.74,3.0
P00377,Mice,56.73,3.3
P00378,Speakers,64.5,3.2
P00379,Laptops,101.9,2.7
P00380,Monitors,40.81,3.8
P00381,Headphones,84.67,4.6
P00382,Smartphones,28.66,4.2
P00383,Tablets,139.65,3.6
P00384,Tablets,153.91,3.0
P00385,Cameras,90.53,4.2
P00386,Keyboards,34.45,4.9
P00387,Monitors,87.38,3.5
P00388,Cameras,116.47,4.5
P00389,Keyboards,44.3,3.8
P00390,Mice,35.32,4.6
P00391,Cameras,70.88,4.2
P00392,Chargers,209.58,4.2
P00393,Smartphones,95.58,3.4
P00394,Speakers,63.75,4.3
P00395,Cameras,661.6,4.1
P00396,Speakers,105.03,4.1
P00397,Tablets,17.92,4.5
P00398,Laptops,65.02,3.6
P00399,Mice,83.65,4.4
P00400,Smartphones,231.77,4.5
P00401,Mice,29.31,4.0
P00402,Headphones,59.53,3.9
P00403,Monitors,63.17,4.0
P00404,Speakers,82.1,3.9
P00405,Laptops,74.31,3.5
P00406,Chargers,12.56,3.2
P00407,Smartphones,27.06,3.5
P00408,Monitors,95.16,5.0
P00409,Keyboards,86.69,3.8
P00410,Chargers,93.13,3.8
P00411,Chargers,149.4,4.0
P00412,Chargers,204.94,4.8
P00413,Speakers,62.45,3.7
P00414,Keyboards,372.67,4.1
P00415,Tablets,101.83,3.1
P00416,Tablets,36.45,3.1
P00417,Monitors,109.83,3.8
P00418,Speakers,57.08,3.9
P00419,Smartphones,70.41,4.1
P00420,Smartphones,31.59,4.2
P00421,Headphones,44.28,4.6
P00422,Headphones,59.42,3.7
P00423,Cameras,672.34,4.0
P00424,Keyboards,70.99,3.7
P00425,Monitors,31.92,4.7
P00426,Speakers,63.34,3.7
P00427,Monitors,55.26,5.0
P00428,Mice,42.67,4.2
P00429,Tablets,82.26,4.3
P00430,Headphones,112.73,2.5
P00431,Speakers,22.92,4.1
P00432,Laptops,87.23,4.0
P00433,Speakers,180.95,3.4
P00434,Cameras,28.39,2.6
P00435,Chargers,69.92,3.4
P00436,Cameras,24.61,4.0
P00437,Cameras,97.5,3.6
P00438,Laptops,83.96,4.8
P00439,Keyboards,56.55,4.0
P00440,Tablets,45.62,4.5
P00441,Speakers,20.85,3.8
P00442,Laptops,22.11,3.9
P00443,Cameras,18.72,5.0
P00444,Monitors,131.49,4.6
P00445,Tablets,43.29,3.9
P00446,Speakers,50.09,5.0
P00447,Tablets,121.66,3.4
P00448,Headphones,243.74,3.4
P00449,Headphones,460.85,3.7
P00450,Chargers,34.97,4.6
P00451,Chargers,146.74,4.0
P00452,Monitors,21.29,3.7
P00453,Cameras,131.82,3.1
P00454,Cameras,60.97,4.7
P00455,Headphones,184.72,4.3
P00456,Keyboards,40.8,3.5
P00457,Headphones,36.31,3.6
P00458,Tablets,91.72,3.9
P00459,Tablets,50.64,3.5
P00460,Chargers,37.84,3.6
P00461,Cameras,197.04,4.4
P00462,Laptops,54.46,3.9
P00463,Chargers,23.76,4.6
P00464,Laptops,31.14,3.3
P00465,Chargers,39.82,4.9
P00466,Mice,128.32,4.2
P00467,Laptops,121.37,3.9
P00468,Monitors,135.73,3.2
P00469,Monitors,209.04,4.4
P00470,Cameras,194.17,3.8
P00471,Headphones,197.75,4.8
P00472,Laptops,52.47,5.0
P00473,Monitors,108.08,4.0
P00474,Cameras,52.58,4.8
P00475,Laptops,84.09,4.0
P00476,Smartphones,60.67,4.2
P00477,Mice,37.22,5.0
P00478,Laptops,44.3,5.0
P00479,Cameras,34.67,4.3
P00480,Monitors,142.08,4.6
P00481,Cameras,67.03,5.0
P00482,Speakers,15.47,3.7
P00483,Speakers,21.11,3.9
P00484,Speakers,50.63,5.0
P00485,Speakers,116.07,4.6
P00486,Keyboards,44.04,3.7
P00487,Speakers,63.3,4.5
P00488,Chargers,59.02,4.5
P00489,Monitors,102.53,3.5
P00490,Chargers,431.97,4.5
P00491,Smartphones,144.25,5.0
P00492,Smartphones,10.32,4.8
P00493,Tablets,158.1,3.4
P00494,Mice,98.09,4.1
P00495,Headphones,29.39,3.3
P00496,Cameras,70.19,3.9
P00497,Chargers,111.19,3.5
P00498,Cameras,38.64,4.0
P00499,Keyboards,30.12,4.4
P00500,Smartphones,98.89,4.8
P00501,Mice,66.52,4.5
P00502,Speakers,30.4,4.6
P00503,Smartphones,244.67,4.1
P00504,Tablets,80.61,4.5
P00505,Keyboards,82.55,3.2
P00506,Speakers,56.3,4.1
P00507,Laptops,27.06,3.7
P00508,Monitors,105.77,3.4
P00509,Smartphones,18.77,3.9
P00510,Chargers,126.11,4.2
P00511,Cameras,215.03,4.5
P00512,Chargers,31.49,3.7
P00513,Chargers,103.03,3.7
P00514,Laptops,30.05,4.6
P00515,Speakers,133.26,3.4
P00516,Mice,73.66,2.6
P00517,Mice,59.93,5.0
P00518,Mice,94.86,4.0
P00519,Speakers,58.62,4.0
P00520,Keyboards,28.61,5.0
P00521,Smartphones,127.4,4.1
P00522,Smartphones,76.03,4.1
P00523,Mice,73.12,3.8
P00524,Monitors,45.89,3.4
P00525,Speakers,86.95,4.1
P00526,Monitors,46.56,3.3
P00527,Smartphones,55.81,4.2
P00528,Tablets,46.67,3.8
P00529,Headphones,65.35,5.0
P00530,Cameras,62.13,3.5
P00531,Mice,92.21,3.7
P00532,Chargers,110.26,4.3
P00533,Keyboards,129.63,4.5
P00534,Headphones,76.49,4.8
P00535,Laptops,39.84,3.3
P00536,Chargers,16.09,2.6
P00537,Keyboards,46.67,4.6
P00538,Monitors,77.22,4.5
P00539,Keyboards,22.15,4.4
P00540,Tablets,44.6,4.4
P00541,Chargers,130.38,4.9
P00542,Monitors,74.37,5.0
P00543,Smartphones,56.45,4.5
P00544,Chargers,45.25,5.0
P00545,Laptops,76.05,4.6
P00546,Monitors,69.65,4.6
P00547,Smartphones,82.35,5.0
P00548,Cameras,50.33,4.5
P00549,Chargers,68.16,4.1
P00550,Keyboards,85.73,4.4
P00551,Monitors,41.61,4.7
P00552,Headphones,17.45,4.7
P00553,Mice,66.04,4.6
P00554,Cameras,104.21,4.1
P00555,Mice,21.38,3.2
P00556,Headphones,60.92,3.0
P00557,Speakers,24.17,3.6
P00558,Laptops,10.6,3.5
P00559,Tablets,1113.18,4.5
P00560,Tablets,80.64,4.3
P00561,Headphones,76.04,4.6
P00562,Smartphones,183.5,5.0
P00563,Chargers,113.11,3.9
P00564,Headphones,195.74,3.1
P00565,Speakers,372.33,4.4
P00566,Mice,24.36,3.5
P00567,Smartphones,147.67,4.6
P00568,Mice,18.6,3.6
P00569,Mice,34.43,2.8
P00570,Monitors,119.39,4.9
P00571,Cameras,77.47,3.7
P00572,Headphones,35.24,5.0
P00573,Speakers,44.5,3.8
P00574,Chargers,114.51,4.7
P00575,Smartphones,35.08,4.7
P00576,Smartphones,36.89,3.9
P00577,Tablets,56.72,4.0
P00578,Mice,749.93,4.3
P00579,Laptops,50.93,5.0
P00580,Keyboards,99.57,3.2
P00581,Cameras,39.56,4.1
P00582,Laptops,68.4,4.4
P00583,Cameras,155.38,4.2
P00584,Tablets,43.5,5.0
P00585,Monitors,140.34,4.0
P00586,Speakers,104.19,4.2
P00587,Keyboards,25.06,3.4
P00588,Headphones,78.79,3.8
P00589,Chargers,57.05,4.5
P00590,Laptops,147.39,4.4
P00591,Cameras,41.62,4.2
P00592,Speakers,115.41,4.8
P00593,Speakers,914.54,4.0
P00594,Cameras,307.42,4.4
P00595,Smartphones,19.88,4.2
P00596,Speakers,52.61,3.0
P00597,Tablets,75.26,3.8
P00598,Cameras,55.78,3.9
P00599,Mice,36.0,4.5
P00600,Chargers,34.63,4.1
P00601,Laptops,114.1,3.5
P00602,Headphones,52.66,4.7
P00603,Chargers,105.93,3.8
P00604,Cameras,26.3,5.0
P00605,Cameras,49.1,4.5
P00606,Headphones,135.65,4.7
P00607,Monitors,148.11,4.0
P00608,Mice,45.81,4.3
P00609,Headphones,132.44,4.7
P00610,Keyboards,89.64,4.8
P00611,Cameras,34.31,5.0
P00612,Tablets,109.31,3.9
P00613,Cameras,87.76,3.3
P00614,Headphones,85.99,3.7
P00615,Mice,76.18,3.5
P00616,Keyboards,69.87,2.9
P00617,Mice,31.08,4.6
P00618,Keyboards,95.78,4.9
P00619,Monitors,30.06,4.7
P00620,Monitors,68.18,4.5
P00621,Mice,30.25,4.0
P00622,Smartphones,106.78,4.1
P00623,Smartphones,166.21,4.6
P00624,Keyboards,46.59,4.2
P00625,Tablets,313.78,3.1
P00626,Speakers,186.61,3.8
P00627,Tablets,85.62,3.3
P00628,Headphones,68.15,3.7
P00629,Laptops,73.37,4.8
P00630,Mice,138.38,4.5
P00631,Cameras,91.38,4.6
P00632,Tablets,108.16,4.2
P00633,Keyboards,94.82,4.3
P00634,Mice,111.93,5.0
P00635,Monitors,112.43,4.6
P00636,Chargers,26.88,4.3
P00637,Keyboards,86.82,4.0
P00638,Smartphones,39.86,4.3
P00639,Laptops,57.78,3.7
P00640,Mice,30.45,4.8
P00641,Tablets,41.65,4.4
P00642,Laptops,46.49,5.0
P00643,Headphones,25.4,4.2
P00644,Tablets,24.39,3.9
P00645,Speakers,45.64,3.8
P00646,Tablets,115.54,4.1
P00647,Headphones,48.8,4.3
P00648,Mice,69.57,3.6
P00649,Headphones,92.4,4.2
P00650,Monitors,51.41,4.6
P00651,Keyboards,155.05,5.0
P00652,Speakers,34.61,3.7
P00653,Headphones,36.82,4.0
P00654,Headphones,37.57,3.4
P00655,Headphones,143.81,4.2
P00656,Tablets,16.82,3.4
P00657,Smartphones,75.03,4.1
P00658,Laptops,39.47,3.7
P00659,Tablets,69.93,4.5
P00660,Monitors,113.2,4.2
P00661,Monitors,339.65,3.4
P00662,Smartphones,28.47,5.0
P00663,Mice,28.16,4.6
P00664,Headphones,107.61,4.2
P00665,Keyboards,50.5,5.0
P00666,Chargers,49.67,3.6
P00667,Cameras,246.79,3.4
P00668,Tablets,62.21,3.5
P00669,Chargers,19.89,3.6
P00670,Monitors,34.05,4.4
P00671,Keyboards,273.38,4.8
P00672,Smartphones,57.33,3.4
P00673,Mice,95.52,4.8
P00674,Cameras,106.47,5.0
P00675,Chargers,29.32,4.6
P00676,Cameras,45.64,5.0
P00677,Tablets,60.31,4.7
P00678,Tablets,83.22,4.2
P00679,Headphones,60.35,3.2
P00680,Smartphones,93.41,5.0
P00681,Keyboards,24.12,3.0
P00682,Monitors,176.51,2.6
P00683,Speakers,21.99,4.2
P00684,Speakers,53.57,4.3
P00685,Speakers,180.77,2.6
P00686,Mice,370.39,5.0
P00687,Laptops,12.88,4.8
P00688,Smartphones,12.83,4.1
P00689,Speakers,144.58,4.9
P00690,Keyboards,145.85,4.6
P00691,Smartphones,76.74,3.9
P00692,Headphones,20.36,4.4
P00693,Smartphones,60.26,3.4
P00694,Tablets,80.11,4.6
P00695,Tablets,170.83,3.6
P00696,Mice,5.72,4.2
P00697,Chargers,52.76,4.1
P00698,Smartphones,134.46,4.2
P00699,Cameras,26.02,4.1
P00700,Cameras,60.81,3.7
P00701,Keyboards,14.54,4.4
P00702,Smartphones,39.93,4.0
P00703,Keyboards,42.6,4.0
P00704,Mice,79.79,3.2
P00705,Mice,194.74,4.6
P00706,Laptops,42.31,4.0
P00707,Speakers,139.27,4.3
P00708,Tablets,30.37,3.4
P00709,Tablets,328.7,5.0
P00710,Laptops,51.6,4.9
P00711,Monitors,62.67,4.1
P00712,Keyboards,116.11,4.6
P00713,Smartphones,93.81,4.0
P00714,Smartphones,89.09,4.1
P00715,Mice,26.87,4.3
P00716,Chargers,46.56,3.8
P00717,Mice,50.56,3.3
P00718,Laptops,23.54,3.9
P00719,Cameras,95.08,3.4
P00720,Headphones,133.99,4.1
P00721,Cameras,8.56,5.0
P00722,Cameras,77.34,3.4
P00723,Cameras,33.36,3.7
P00724,Laptops,247.6,4.4
P00725,Keyboards,92.62,4.6
P00726,Tablets,94.25,3.0
P00727,Speakers,7.04,2.7
P00728,Monitors,25.9,3.7
P00729,Keyboards,30.07,3.8
P00730,Speakers,88.34,4.5
P00731,Chargers,34.54,4.9
P00732,Headphones,74.27,3.2
P00733,Chargers,44.31,3.2
P00734,Chargers,13.86,4.7
P00735,Cameras,70.94,4.7
P00736,Chargers,29.47,4.5
P00737,Tablets,30.59,3.3
P00738,Cameras,18.61,3.0
P00739,Headphones,60.59,3.3
P00740,Monitors,25.04,3.8
P00741,Tablets,175.68,5.0
P00742,Headphones,51.17,4.5
P00743,Smartphones,62.05,4.0
P00744,Speakers,14.85,3.6
P00745,Smartphones,141.1,4.5
P00746,Headphones,194.12,4.6
P00747,Monitors,140.93,4.5
P00748,Speakers,73.29,3.8
P00749,Laptops,88.79,3.9
P00750,Headphones,17.91,4.3
P00751,Chargers,254.19,4.0
P00752,Mice,41.29,3.7
P00753,Speakers,949.19,4.0
P00754,Headphones,161.83,4.4
P00755,Headphones,91.05,3.8
P00756,Monitors,90.64,4.6
P00757,Chargers,84.71,4.3
P00758,Smartphones,27.87,3.4
P00759,Smartphones,84.48,4.9
P00760,Speakers,39.3,4.1
P00761,Chargers,51.9,4.0
P00762,Speakers,47.71,3.8
P00763,Smartphones,26.64,3.8
P00764,Headphones,71.37,4.3
P00765,Tablets,9.33,3.7
P00766,Laptops,119.96,3.8
P00767,Tablets,337.52,4.7
P00768,Cameras,61.49,4.6
P00769,Headphones,89.87,4.9
P00770,Speakers,44.33,3.7
P00771,Speakers,158.1,4.9
P00772,Monitors,18.92,4.9
P00773,Speakers,8.6,5.0
P00774,Laptops,93.06,3.6
P00775,Headphones,72.41,3.5
P00776,Headphones,53.92,4.4
P00777,Speakers,50.87,4.4
P00778,Headphones,85.2,3.5
P00779,Speakers,181.93,4.2
P00780,Mice,73.89,3.6
P00781,Headphones,343.06,3.7
P00782,Mice,58.54,3.9
P00783,Smartphones,286.42,4.1
P00784,Mice,91.72,4.3
P00785,Speakers,121.06,4.6
P00786,Monitors,38.17,3.9
P00787,Tablets,66.02,4.3
P00788,Monitors,83.46,4.2
P00789,Keyboards,44.25,4.2
P00790,Speakers,48.88,3.0
P00791,Cameras,34.12,4.2
P00792,Mice,226.21,4.9
P00793,Tablets,86.14,4.7
P00794,Headphones,28.57,4.2
P00795,Cameras,107.57,4.4
P00796,Headphones,67.23,4.9
P00797,Speakers,82.66,4.7
P00798,Cameras,15.77,3.8
P00799,Keyboards,60.96,5.0
P00800,Smartphones,65.21,4.5
P00801,Mice,57.36,2.9
P00802,Mice,42.49,4.4
P00803,Cameras,69.66,4.2
P00804,Tablets,134.01,5.0
P00805,Chargers,104.34,3.0
P00806,Monitors,52.88,4.0
P00807,Monitors,80.96,4.0
P00808,Cameras,34.4,4.2
P00809,Keyboards,89.46,3.8
P00810,Keyboards,50.68,4.7
P00811,Laptops,181.24,4.5
P00812,Cameras,12.05,3.9
P00813,Smartphones,21.49,4.0
P00814,Cameras,43.59,4.0
P00815,Smartphones,66.41,4.3
